=== SUMMARY ===
Total CO2 (kg),49307347.98
Total NOX (kg),288657.73
Total Distance Flown (km),2679473060.22

=== Top Departure Airports by CO2 Emissions ===
Dep,CO2,NOX
Unknown,5108101.798602933,30557.742439208592
London,3311580.483342799,20199.9985084591
Paris,2586811.4050519476,16179.520983773053
Istanbul,2576961.564807211,16321.387359401497
Amsterdam,1643322.0328638346,9826.84871435794
 Frankfurt,1622458.756811307,9319.163292955582
Madrid,1103891.3615126878,5902.288146938291
Dubai,930552.6196493536,6624.156919453915
New York,706897.6032862298,4355.826104736823
Milan,691865.0763027389,4043.3936571966838
Brussels,658452.5869335405,3653.290227370283
Doha,586007.1789743231,4030.8942184205325
Barcelona,576277.8564367795,3374.5475133471996
Zurich,570086.2586882472,3398.6180214549627
Lisbon,565543.9135314502,2920.1419953008117
Rome,538819.2579840538,3098.8196917156033
Munich,516818.15859828953,2669.6048712991296
Hong Kong,470643.00587772514,3334.0908875416717
Seoul,448562.82525305956,3232.922439175775
Athens,434080.7840924557,2604.2355836813326
Tokyo,400780.6828539799,2739.4015129083054
Singapore,385105.46140149335,2447.6257609759923
Dublin,384418.0547778652,2182.2076155153577
Leipzig,380401.1551338791,2483.730680308013
Copenhagen,378042.8651514001,2136.787333484626
Chicago,362459.3276280386,2191.6989979441305
Vienna,361977.0974433788,2014.8339677758422
Hawthorne,345090.79558053275,2280.0462621443526
Manchester,340882.7865930439,1897.3625270317284
Bangkok,340485.1690022849,2371.6601715992856
Berlin,329766.93162207794,1783.0112007644639
Moscow,327780.95605989575,1814.3257411974773
Stockholm,315393.41649669944,1745.4322927009775
Dusseldorf,305184.7441330828,1638.8957046263247
Sao Paulo,299001.8066271204,1939.3376395894813
Mallorca Island,277959.3194328963,1526.3877131412223
Tel Aviv,267128.6053142399,1466.3400681764515
Tenerife Island,265837.72236578015,1372.4289020669762
Miami,263801.8539573057,1534.546792708332
Helsinki,258568.49175410942,1322.4490337379136
Warsaw,253743.72788582253,1319.4024449020865
Cologne,250842.5430925441,1247.948552416086
Kyiv,240409.9171535367,1246.5051669444156
Atlanta,240002.8443240992,1329.3172184694151
Malaga,235902.14462687515,1237.7362705704634
Mississauga,215231.18604620267,1360.7556600612525
Gran Canaria Island,208472.5123929761,1097.9726457792162
Yas Island,202705.91738638736,1144.579371275083
Geneva,202155.06432871026,1122.703356272342
Liege,199235.8040205495,1208.3010074796036


=== Emissions by Haul Type ===
Haul Type,CO2,NOX,Distance (km)
Long-haul flight,28144953.866132587,172784.97889476665,1380551054.791
Medium-haul flight,10244260.95557983,54883.849385599075,684103771.463
Short-haul flight,10918133.157011902,60988.90054422786,614818233.965


=== Emissions by Aircraft Type ===
Aircraft Type,CO2,NOX,Distance (km),Avg Flight Time (min)
b77w,12177740.920961335,94556.132953033,290963741.221,483.06220834407395
b738,8370835.130718282,45894.98165523307,543198800.545,134.48913462138114
a320,5186955.645999782,28478.443864656565,348747612.602,117.70906598395555
a333,3852774.421201589,20473.081698133898,144156398.522,410.22905794602605
a332,3152725.5448558223,16365.500698461783,120016089.396,326.73150768349035
b772,2641322.108011672,20110.446246533396,83515869.633,510.4910995589162
a321,2393935.4172232863,17409.123273283134,113689362.458,131.61442978406933
a20n,2120715.4483681377,10123.118085500702,134529009.793,136.18976479340733
a319,1792414.473571972,7222.220723409846,143348562.288,98.70092775035253
b789,1446048.950808536,6344.786549730291,123791569.25,503.6715686845169
a359,1372484.7858161542,5854.56678793954,85850093.287,538.5445078822754
b752,900532.4268380301,2108.7181956269046,106047349.099,247.98045117263163
e190,797758.5671597213,3429.69182790752,59769766.516,90.28048665106566
b737,508025.6791219006,2832.3281225105266,32410346.689,104.91969979617922
a343,457697.9171941673,1076.5228147115204,48871963.884,536.9270129804279
b734,437856.0193415335,1921.4464418079135,28848249.178,98.49262719574497
b744,396816.357519312,734.6029171233095,77530238.773,422.7461551385442
a388,368679.0811881458,722.6685833892521,37416647.209,486.65291067855196
b788,249247.0840953622,922.3233402846398,98221715.584,439.42576848576726
b748,241546.9466685089,353.62462978383275,34240881.649,429.18409788694237
e195,231283.13185136806,1071.7778606500965,14619048.123,87.34925825825826
c550,135599.3959913787,368.5909940133429,3313309.942,83.1287572160602
e75l,48651.43941718622,180.40612693504028,4331352.342,81.2482618496767
glf6,25701.08480113491,102.62443393446179,2045082.236,190.56820257368202
