=== SUMMARY ===
Total CO2 (kg),9863663.09
Total NOX (kg),57066.67
Total Distance Flown (km),546017908.37

=== Top Departure Airports by CO2 Emissions ===
Dep,CO2,NOX
Unknown,1027955.3173012681,6096.783275437326
London,819321.4239952851,4903.945490779186
Paris,551916.925264332,3395.2820318088266
Istanbul,446913.32366774295,2874.2937721997528
Amsterdam,304347.0331831632,1745.8875768791197
 Frankfurt,288338.9768455965,1643.918241505476
Madrid,233189.31439686348,1217.922098560071
Dubai,190795.73637005143,1257.1927277560505
Rome,148514.05225249677,854.668765863201
Munich,139636.15971930887,736.7444674103969
Zurich,135217.94149208517,765.0485133034397
Hong Kong,130497.98027387931,953.0135722822137
Milan,126381.5646557006,682.7469337264148
New York,124131.7146331906,664.4469104801568
Barcelona,116733.5979708073,672.5586401007871
Brussels,114410.9738933715,622.5700892508933
Lisbon,105630.26347906492,547.1698802041361
Bangkok,103060.52479671873,715.1359157338892
Singapore,102385.30569376894,695.3219405043219
Tokyo,94324.19979329013,647.311947429575
Manchester,93291.6776627998,529.3613443447229
Berlin,90914.83715604758,503.54709727279464
Dublin,88289.36638811065,507.5482917914102
Stockholm,86993.7717444274,496.70671297137994
Doha,84685.19677010486,501.97483435394133
Copenhagen,78722.3213315676,433.49216981404055
Moscow,77738.71694872656,422.0187118453132
Seoul,77501.08771475365,533.5826286866215
Dusseldorf,75391.37814191963,399.72570688844775
Helsinki,75272.04247420146,403.9142993611142
Vienna,73560.49760657627,414.8942761453546
Tenerife Island,72298.62798326432,379.20967408530333
Yas Island,67329.63895933393,373.4017794295288
Sao Paulo,66090.28458820087,425.7659174370102
Gran Canaria Island,64920.248146889084,345.1983135187945
Tel Aviv,64641.472239835144,361.05405749028375
Hawthorne,62226.90342590838,384.87804634400635
Miami,58972.270413569764,332.5346371132963
Geneva,55810.348794671896,306.40015676959274
Chicago,50606.439694802284,283.0394547511689
Athens,50087.13239828583,291.2058436156976
Warsaw,47153.05776002994,243.96752490433346
Mumbai,45875.93849573551,329.4424772027681
Mississauga,43757.656101138986,272.14568492943687
Cologne,43675.62027223153,216.09961455516355
Atlanta,42045.135244321675,249.25969772361373
New Delhi,41607.19234096302,269.88546948373005
Hamburg,40090.55361630662,230.81383083625974
Leipzig,38765.15655298882,237.2224719456483
Kyiv,38572.01615227484,198.15051838884784


=== Emissions by Haul Type ===
Haul Type,CO2,NOX,Distance (km)
Long-haul flight,6027364.360565885,35729.44734463704,312454574.5915
Medium-haul flight,1624879.4151875067,8842.57435587901,108861052.8085
Short-haul flight,2211419.3112055915,12494.643906927513,124702280.9665


=== Emissions by Aircraft Type ===
Aircraft Type,CO2,NOX,Distance (km),Avg Flight Time (min)
b77w,4328553.916648975,33059.78931929304,53268366.1075,256.58664013997065
b738,2950635.221896968,16189.583727832993,94728197.4625,66.65652634532529
a320,2397830.9636241402,13195.067404949872,79562449.3165,59.4011405032107
a332,1809450.7541399193,9132.685631084136,35697361.0365,191.87250662749875
a333,1595189.1082655634,8326.63264480649,30370553.377,222.77635732009924
b772,1573884.0246797863,11725.71337387508,25485188.8765,264.60401171552184
a321,1288537.6240402719,9336.396788222142,30772224.486,69.71896785323571
a319,936935.0314416735,3791.6508208558803,36625942.0,49.387721197632054
b752,496163.4260638469,1128.266094812735,31693493.512,155.5093457794287
e190,438381.7298336506,1900.8574009680556,15809802.7225,43.44979957158983
a343,331227.3414052256,779.9107869532336,17706469.53,277.9727495640802
a388,316929.62957975385,611.2515848419687,16441176.4865,251.18809064953606
b737,285146.9263244416,1602.2775856904386,8867712.528,51.06487516848733
b789,260943.3790792003,1089.0339720121976,11824886.9555,267.13924300661967
b744,192055.79755524234,342.90028784350557,20043305.548,227.48887855255353
b734,191062.46051282104,825.0235407199788,6444218.656,51.44942348871685
a359,138004.2782080582,583.7696895628604,4410346.428,279.01615600947304
b788,87012.69016016569,307.91667200393215,19961425.688,239.39505671237515
b748,76691.20654522668,110.32348284832376,5812325.9375,214.94220859985788
c550,29133.776573427927,79.87645481346962,349940.393,39.25096290002832
glf6,3548.231396007398,14.370878043377974,142185.8115,99.13665123456789
e75l,8.655943601561065,0.033072853417775,335.5075,37.03333333333333
