

=== New Entry ===
Total CO2,105246.98
Total NOX,626.86

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,9537.02966531393,57.79453385171794
London,7938.946558462271,49.496426479459444
Istanbul,5418.547124012265,32.7463569260691
Amsterdam,5073.306520493886,29.341095053409614
Paris,4083.5279049572873,23.745565398977856
 Frankfurt,3975.321327895981,23.382569280120926
Dubai,2824.726588143984,21.66241425352269
Doha,2039.9233617572781,15.053482303629206
Madrid,2005.5701621753035,13.139546700364583
Milan,1756.5273172820457,10.074045649454442
Seoul,1280.546112773268,9.350504104836244
Hawthorne,1149.0953188592298,8.55501531705611
Lisbon,1112.7632068273251,5.499385437999592
Dublin,1088.3786227814546,6.717498772328023
Brussels,1061.2418673630868,6.635621153438157
Chicago,1031.398364329182,6.727456344285798
Manchester,1023.5909855010649,5.80895777242261
Zurich,1006.7874880134298,5.93351593346346
Barcelona,995.5071761827534,5.350654258540753
Hong Kong,917.2509236499161,6.586146964094405
Munich,908.1196413569921,4.28098569631364
Copenhagen,853.7872438851577,4.109494225665481
Athens,847.362770204275,4.566550914185915
St Denis,832.7122048444862,6.669055919296838
Sao Paulo,830.5294792400318,6.516504013438554
Dallas-Fort Worth,787.4479677093826,6.200040542591893
Berlin,768.9056365276717,4.0068784353972156
Liege,749.5640031411314,5.474111525850433
New York,742.7811124419306,5.001431645514215
Mallorca Island,710.5540682230361,4.091963886289544
Leipzig,710.3054915015256,4.40058618896127
Luxembourg,696.3780292452013,3.106758671246016
Mississauga,693.6748700719074,4.713705103373881
Rome,688.5774583765678,4.237019619381551
Guadalajara,675.9648983964878,4.973926122379854
Johannesburg,611.3970008189115,4.039129436896959
Malaga,608.2849267889922,3.1165907270452746
Dusseldorf,587.5775337439676,3.023115951711458
Vienna,574.8309131606516,2.6698414435142244
Porto,574.4240027156227,3.395725775076942
Moscow,561.2364868121017,3.2904392862185534
Memphis,558.107998082522,4.313413110272423
Stockholm,556.2255066651107,2.60347940815604
Bangkok,541.7859866282656,3.7105129751205106
Heraklion,537.1089353932193,2.9401113323643586
New Delhi,526.0558215630332,3.159564785216327
Lima,478.1724256447903,3.834556749631136
Larnarca,450.15297376216523,2.51637264062353
Colombo,436.9573244092811,2.101101715920031
Faro,435.28703649133394,2.2918133833285776

Emissions by Haul Type:
Haul,CO2,NOX
Long-haul flight,55842.463487268375,359.78540720375696
Medium-haul flight,24129.676091264355,126.34151154873533
Short-haul flight,25274.83562813335,140.73334105519194

Emissions by Aircraft Type:
Plane,CO2,NOX
b77w,29142.59579717557,228.75206996305738
b738,19548.653752883904,108.11294157186146
a320,12153.098060831353,66.99663414690525
a20n,7754.494762623145,37.20361119060534
a333,6010.194858251158,32.44719103381841
a359,4676.343105875527,20.104746952495578
b789,4201.355269994071,18.202075485902526
b772,4024.5349602583133,32.60222596007205
a321,3267.357272569524,23.92379056741584
a319,3184.160426197185,12.93929941958467
a332,2645.5299827017616,14.352417075461041
e190,1346.15598556742,5.797868248322032
b737,1279.8529754034787,7.126497095445562
e195,1047.4695878140042,4.883705823285209
b744,1025.906866785199,1.9844286353001437
b752,796.5253535887633,1.9168875764782478
b748,767.2381600929956,1.0983391954180353
b788,723.4239623271587,2.5893955427238415
b734,669.9094920228393,2.8699160718111667
c550,505.90521317497036,1.34904366670833
e75l,308.45291242389345,1.162975553808643
a343,73.03227698892674,0.1741852128678186
a388,64.55802077156831,0.1350703174142278
glf6,30.22615034335258,0.13494350092141388
