Total CO2 (kg),17153698.32
Total NOX (kg),100192.43
Total Distance Flown (km),942224138.22

Top 15 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,1650267.7121295824,9659.018078068651
London,1015152.5580699714,6240.2712806332565
Istanbul,941164.1530923415,5925.916927012512
Paris,823410.0985499343,5166.265223483757
 Frankfurt,575138.0213384074,3311.7799865268166
Amsterdam,573899.4595149014,3445.5066421089177
Madrid,366375.87048375414,1990.3228604940073
Dubai,301127.486795622,2245.285026755099
New York,259266.68672140484,1718.3746141823308
Milan,249610.4676376155,1526.6082753978396
Brussels,239491.39375300927,1326.3686507046382
Barcelona,218922.23173043516,1308.2443044731933
Lisbon,208791.95002784292,1081.5213199574164
Doha,202102.78234715434,1431.5375860082695
Athens,197485.33455709871,1198.5956737936247
Zurich,181726.00577853108,1124.7379545612268
Leipzig,161983.06313123932,1080.6925940211402
Rome,154841.09201066187,902.0084303051386
Munich,150949.8658367871,750.951541265445
Mallorca Island,145511.7626744178,790.3637985676536
Dublin,143127.61326740702,798.7676392352065
Seoul,141832.4900039861,1040.0148817895727
Chicago,139891.06110068204,873.1816929481788
Vienna,137044.3854466444,756.7278340910392
Copenhagen,136023.38798500094,778.1125874833085
Hong Kong,126290.46300052355,839.4060082549116
Hawthorne,126211.04292165823,876.2129001057737
Manchester,112116.58595238559,597.0636520970047
Malaga,105744.12337566355,553.7245370890437
Tokyo,104684.22865977099,693.1485928107498
Moscow,101554.99392645793,568.1361544530572
Dusseldorf,98968.6290484084,537.7025871136251
Singapore,95880.04577822376,556.4143130408194
Kyiv,94583.57328324122,496.64638974129076
Berlin,94513.36993985914,502.41540335932837
Cologne,93652.56451960884,475.6850871711906
Warsaw,93353.51231907723,491.5708560167853
Liege,87084.58293622169,533.0841617948741
Heraklion,86610.92454213723,454.3673321146772
Sao Paulo,86469.35695278202,554.6329325134564
Atlanta,85709.46859321046,457.9182535210637
Stockholm,84975.86015500466,453.2601249779717
Tel Aviv,84370.35384900945,460.95152176712713
Tenerife Island,81304.92466070838,411.7039004086758
Alicante,78694.40608762037,412.81841320708844
Newark,77212.43940343066,445.55171657871267
Miami,75715.17528783211,451.0188004724725
Mississauga,72792.12685755303,451.89404251855956
San Francisco,71475.18144903383,471.41653524352785
Helsinki,70608.95713915238,341.72546445137243

Emissions by Haul Type (CO2, NOX, Distance (km)):
Haul,CO2,NOX,Distance (km)
Long-haul flight,8781468.754967457,54591.79371978965,424137342.519
Medium-haul flight,4464289.805656582,23793.808681619044,297804351.05
Short-haul flight,3907939.758133445,21806.831900971967,220282444.648

Emissions by Aircraft Type:
Plane,CO2,NOX,Distance (km),Avg Flight Time (min)
b77w,4015577.6473865807,31418.870027564884,94652507.031,466.4650739913444
b738,3462797.8696687673,18956.29319108203,225841568.391,136.36946028334327
a320,1842329.7793190542,10083.079906368203,125320273.204,118.42234757111962
a333,1300318.063793396,7001.162552879,47953967.372,385.8225654017536
a20n,1254480.6973083068,5975.475050220733,80265345.89,140.89526388722336
a321,749045.9444840306,5460.3286947180295,35438628.534,124.68035827418124
a332,736713.5024952918,3975.274708814031,26602763.11,267.40358808290154
a359,675952.950056731,2872.0379824813594,42371947.802,551.2484204282949
b772,644181.3797409602,5033.958533594778,19714984.402,482.5725936135998
b789,638799.9137965568,2813.915278949942,54310128.535,500.0751332188312
a319,510232.4232175652,2044.190381092893,41760227.078,99.59722856009127
b752,234545.87872077152,563.1374838898029,25289730.396,206.9346717557252
e190,210988.46234382098,895.4338171829031,16579543.408,94.88803945989758
e195,136362.48092016752,632.2222989687787,8568150.5,86.70043055414853
b734,130176.98109744303,574.8865783502134,8513552.861,97.6187272085637
b737,120162.56519792009,660.5788166659016,7955365.072,111.2200639549757
b744,100936.32229492978,192.37228832890474,18531236.751,395.28426178221815
b788,94875.7627574805,359.43555894258975,34160038.374,418.9597693194925
b748,94024.36141253093,137.88526030525253,13038955.753,438.020902170392
a343,72261.0736214879,169.39218249407043,7678632.979,500.1478663085646
c550,55791.25408528895,151.4859617827908,1368225.497,85.19873725109277
a388,34845.70522474524,74.77549735785192,3071968.98,398.5903273809524
e75l,25085.818780552338,93.61115246318407,2188664.505,77.03925950268376
glf6,13211.481033104252,52.63109788254166,1047731.792,191.45065040650405
