EurocontrolID,Plane,Dep,Arr,Dep(start-coordinates),Arr(end-coordinates),CO2,NOX,Time,Distance,Haul,Start-Date,End-date
239861760,b738,Dusseldorf,Ankara,"[51.28083, 6.75722]","[40.12806, 32.995]",35.03321331832166,0.18518880463451254,11880.0,2541293.0,Medium-haul flight,26-06-2020 19:31:00,26-06-2020 22:49:00
239861762,a332,Stockholm,Leipzig,"[59.65195, 17.91861]","[51.42389, 12.23639]",45.838158229172286,0.29502680648149704,6497.0,1103933.0,Short-haul flight,26-06-2020 19:33:00,26-06-2020 21:21:17
239861764,a320,Athens,Vienna,"[37.93667, 23.94445]","[48.11028, 16.56972]",18.391654076656422,0.10149528696464123,7068.0,1301378.0,Short-haul flight,26-06-2020 19:19:00,26-06-2020 21:16:48
239861765,a320,Nice,Sofia,"[43.66528, 7.215]","[42.695, 23.40833]",17.470510302760946,0.0951946892748137,6928.0,1398732.0,Short-haul flight,26-06-2020 19:50:00,26-06-2020 21:45:28
239861766,b738,Bologna,Alghero,"[44.53083, 11.29695]","[40.63111, 8.28861]",12.171285451116818,0.08053677773661912,3904.0,517403.0,Short-haul flight,26-06-2020 19:15:00,26-06-2020 20:20:04
239861767,a321,Split,London,"[43.53889, 16.29806]","[51.87472, -0.36833]",28.021710602960965,0.18724318269711643,8095.0,1590804.0,Medium-haul flight,26-06-2020 19:09:00,26-06-2020 21:23:55
239861768,b738,Faro,Amsterdam,"[37.01445, -7.96583]","[52.30806, 4.76417]",27.894451854817536,0.14575423238523316,10075.0,2055796.0,Medium-haul flight,26-06-2020 19:21:00,26-06-2020 22:08:55
239861769,a332,Belfast,Nottingham,"[54.6575, -6.21583]","[52.83111, -1.32778]",22.66950744943129,0.17400856864637293,3427.0,416594.0,Short-haul flight,26-06-2020 19:30:00,26-06-2020 20:27:07
239861770,b752,Edinburgh,Nottingham,"[55.95, -3.3725]","[52.83111, -1.32778]",8.989114024471938,0.02542028155008702,3312.0,442736.0,Short-haul flight,26-06-2020 19:16:00,26-06-2020 20:11:12
239861771,b738,Sevilla,Paris,"[37.41806, -5.89889]","[48.72333, 2.37945]",21.43974425607194,0.11978664719476714,6713.0,1479981.0,Short-haul flight,26-06-2020 19:30:00,26-06-2020 21:21:53
239861772,a332,Gothenburg,Copenhagen,"[57.66, 12.29111]","[55.61806, 12.65611]",18.011264768900777,0.14892334345012592,2192.0,238623.0,Short-haul flight,26-06-2020 19:26:00,26-06-2020 20:02:32
239861773,b738,Venezia,Bari,"[45.50528, 12.35195]","[41.13806, 16.765]",11.168556772832675,0.066414247674266,3890.0,637270.0,Short-haul flight,26-06-2020 19:20:00,26-06-2020 20:24:50
239861775,a332,,,,,188.12399150052488,0.8782541510647766,34202.0,8242029.0,Long-haul flight,26-06-2020 19:21:00,27-06-2020 04:51:02
239861777,a320,London,Budapest,"[51.14806, -0.19028]","[47.43945, 19.26195]",25.95749414161416,0.15153878919055996,8628.0,1500959.0,Medium-haul flight,26-06-2020 19:26:00,26-06-2020 21:49:48
239861778,b752,Geneva,Leipzig,"[46.23833, 6.10945]","[51.42389, 12.23639]",10.986815706191772,0.030951057869091005,4570.0,783339.0,Short-haul flight,26-06-2020 19:30:00,26-06-2020 20:46:10
239861779,a359,New Delhi,Munich,"[28.56861, 77.11333]","[48.35389, 11.78611]",110.44401441748201,0.4778659222195638,28364.0,6309211.0,Long-haul flight,26-06-2020 19:50:00,27-06-2020 03:42:44
239861781,b738,Barcelona,Bergamo,"[41.29695, 2.07833]","[45.66889, 9.70028]",14.439657242750824,0.08447530420429604,4849.0,843006.0,Short-haul flight,26-06-2020 19:47:00,26-06-2020 21:07:49
