"Route ID","Sequence Number","Latitude","Longitude"
"A1","1","48.40694","3.29472"
"A1","2","48.02583","3.91389"
"A1","3","47.27083","5.09722"
"A1","4","46.87056","5.77806"
"A1","5","46.72694","6.01944"
"A1","6","46.66667","6.11972"
"A1","7","46.46861","6.44806"
"A1","8","46.26861","6.62139"
"A1","9","46.18278","6.69528"
"A1","10","46.05389","6.80556"
"A1","11","45.82","7.05472"
"A1","12","34","25.15"
"A1","13","32.60028","27.61833"
"A1","14","32.11694","28.41"
"A1","15","31.49417","29.44861"
"A1","16","31.1875","29.95083"
"A1","17","31.09194","30.30167"
"A1","18","30.09222","31.38833"
"A10","1","35.06833","26.18917"
"A10","2","33.95167","27.33333"
"A100","1","48.93306","40.415"
"A100","2","48.11472","40.11833"
"A100","3","47.58111","39.92806"
"A100","4","47.25222","39.81333"
"A100","5","46.60639","38.73167"
"A100","6","46.17472","38.03167"
"A100","7","45.74972","37.365"
"A100","8","45.35","36.64667"
"A102","1","45.38667","49.5"
"A102","2","45.92722","47.06028"
"A102","3","46.02056","46.77139"
"A102","4","46.41833","45.49667"
"A102","5","46.95139","43.64"
"A102","6","47.10306","43.09"
"A102","7","47.33472","42.13639"
"A102","8","47.46583","41.61361"
"A102","9","47.58778","41.115"
"A102","10","47.80556","40.37611"
"A102","11","47.88528","40.1"
"A102","12","47.92639","39.90833"
"A102","13","47.95","39.80833"
"A104","1","54.66833","31.04139"
"A104","2","55.14083","33.06667"
"A104","3","55.34278","33.99722"
"A104","4","55.55528","35.02194"
"A108","1","50.68889","52.41944"
"A108","2","49.89278","53.88167"
"A108","3","49.16167","55.15556"
"A108","4","48.84972","55.68083"
"A108","5","48.69028","55.945"
"A108","6","48.53444","56.20056"
"A108","7","48.0275","55.92556"
"A108","8","47.50111","55.64611"
"A108","9","46.81139","55.28889"
"A108","10","45.82389","54.79417"
"A108","11","45.53917","54.655"
"A108","12","44.84278","54.32056"
"A108","13","44.205","54.05917"
"A108","14","43.88472","53.93028"
"A108","15","43.50306","53.77833"
"A108","16","42.24278","53.28889"
"A112","1","44.74","49.5"
"A112","2","44.76639","50.16333"
"A112","3","44.80222","51.29472"
"A112","4","44.81694","51.90611"
"A112","5","44.83611","53.11472"
"A112","6","44.84278","54.32056"
"A112","7","45.53917","54.655"
"A112","8","45.82389","54.79417"
"A112","9","46.81139","55.28889"
"A112","10","47.50111","55.64611"
"A112","11","48.0275","55.92556"
"A112","12","48.53444","56.20056"
"A112","13","49.23222","56.58861"
"A112","14","49.66833","56.83722"
"A112","15","50.26333","57.18278"
"A122","1","53.96694","54.78167"
"A122","2","53.42833","54.25"
"A122","3","51.545","52.50833"
"A122","4","51.46667","52.31556"
"A122","5","50.4275","51.59111"
"A122","6","49.02528","51.685"
"A122","7","47.86278","51.75861"
"A122","8","47.14389","51.80139"
"A122","9","46.57694","52.44889"
"A122","10","46.07194","53.00944"
"A122","11","45.53139","53.59528"
