Total CO2 (kg),97819939.92
Total NOX (kg),579449.16
Total Distance Flown (km),5189404954.47

Top 50 Departure Airports by CO2 Emissions:
Dep,CO2,NOX
Unknown,10772393.237622857,65821.98253561229
London,6788088.922807562,41655.72484473635
Paris,5324978.264410506,33859.75613122809
Istanbul,4999477.647074116,31842.046575172033
Amsterdam,3480857.642797297,21119.31841167818
 Frankfurt,3308543.647770329,19424.802179415885
Madrid,2018893.6533839363,10693.03659973278
Dubai,1915831.8269951043,13735.48388550487
Doha,1540630.112759635,10683.175293942526
New York,1298459.153714794,8028.256836128563
Milan,1294987.8768806874,7517.398274538264
Brussels,1238991.5240664394,6979.827711656985
Zurich,1157111.3581361193,7047.071584775766
Lisbon,1118098.4394988243,5806.595444234626
Barcelona,1102168.297678603,6397.844857762921
Rome,1072992.799149964,6249.223062834821
Hong Kong,1056742.2116967954,7481.174371384451
Seoul,1042650.2861541928,7400.878787500103
Munich,981913.8448521139,5232.670039919511
Tokyo,828944.8338979324,5611.987229646346
Leipzig,819931.9277244279,5355.930082353534
Dublin,785273.2453757133,4447.527745120287
Singapore,782863.4746919329,4940.810779967842
Chicago,733221.4263588804,4426.814897976411
Bangkok,715355.1172003906,4922.8767158504115
Athens,715194.1393422042,4236.561497188628
Hawthorne,709733.97868735,4693.014351217225
Copenhagen,705408.5358943591,4022.306871994798
Vienna,687700.4063055468,3874.9810179934466
Moscow,675078.9151513061,3772.9328587100927
Manchester,612913.9378485013,3280.2237778378053
Stockholm,597967.2250518252,3288.053260697025
Sao Paulo,594644.5292206969,3871.2124986285103
Berlin,562075.9682821404,3038.732128880934
Helsinki,548206.7517077945,2813.418750244452
Dusseldorf,529096.5228041408,2823.0543587771613
Tel Aviv,519231.9381544154,2882.7980567458058
Miami,504976.1330896186,2962.429214697175
Tenerife Island,499650.85158400476,2546.4204130749913
Cologne,498710.3471343769,2456.9084919411907
Warsaw,457443.4964947768,2396.4748915271743
Kyiv,434174.5420546796,2265.9177752875335
Yas Island,425216.5696579188,2591.008774983132
Liege,421090.3197410285,2546.568912989179
Atlanta,420497.25861945725,2306.266313611085
Malaga,417362.7752428123,2187.924932407855
Mallorca Island,416735.21934885054,2286.947545527492
Mississauga,408812.140561828,2512.4214963882036
Gran Canaria Island,387433.65881409415,2036.043759731427
Luxembourg,376777.2453760538,2076.1841616225547

Emissions by Haul Type (CO2, NOX, Distance (km)):
Haul,CO2,NOX,Distance (km)
Long-haul flight,58883147.889608264,365000.6075551406,2843808409.719
Medium-haul flight,18477841.85499972,99711.92627278362,1213517366.488
Short-haul flight,20458950.173120912,114736.62375618918,1132079178.261

Emissions by Aircraft Type:
CO2,NOX,Distance (km),Avg Flight Time (min)
26732785.76064001,207793.81343808695,635398709.448,478.22726136587977
15016362.468350997,82538.56632817106,968552334.476,134.93543014963842
9436451.38634554,51967.13910780898,628069552.458,117.62953228671641
7187608.896249716,38327.499992674675,266803550.018,408.21742195780763
6315372.364045945,33135.00134234537,236259534.148,314.2422948902743
5451845.807972661,41554.28813988526,170735079.798,514.0080401586097
4485654.583453072,32776.47439217193,210580911.059,130.68712254115613
3943943.7337670634,18896.814147340123,247674331.066,131.66939370067774
3445383.4302639626,15049.364941364236,295480215.124,512.9048747586753
3322629.96732235,14156.069929588642,207722664.691,527.8972948537123
3210603.3612463675,12988.029728176234,252930881.207,98.58284151097142
1731378.4354805509,4081.028064933611,199419966.534,233.13123934529617
1239319.8569991637,5313.500721479483,93664749.793,91.11720143561257
904312.1451370461,5020.869582326681,58263910.789,107.94654643565279
903366.2172659528,3994.6528441490836,58278731.202,96.73333586275899
875190.2060704569,1628.0878542304001,168487594.887,419.8914184897671
784184.9732132549,1849.7311495295926,82662633.109,526.6060392846672
731731.956345466,1433.3769642988684,73949882.511,484.86539584093396
616155.577973831,2863.2903522395036,38173813.835,87.45944132051515
525651.5912383574,770.8761091953893,74008829.605,421.9003596828251
504033.860399789,1860.7820227047669,199705737.189,448.09569129087345
263148.50833372463,714.4839004025323,6409303.477,83.10033560408736
139982.39411946936,525.1628211605566,11936454.049,76.38941075167811
52842.43549414214,210.25370984947094,4235583.995,203.64253875968993
